destination,price,start_date,end_date,travel_duration,month,airline,stops,fetched_at
"Hanoi, Vietnam",215.0,2026-03-26,2026-03-30,Weekend,March,Vietjet,0,2026-02-03T15:14:35.892293
"Phuket, Thailand",163.0,2026-03-12,2026-03-15,Weekend,March,Thai Lion Air,0,2026-02-03T15:14:35.892300
"Tokyo, Japan",505.0,2026-03-06,2026-03-09,Weekend,March,Hainan and Air Japan,1,2026-02-03T15:14:35.892308
"Mumbai, India",203.0,2026-03-28,2026-03-30,Weekend,March,Air India and Air India Express,2,2026-02-03T15:14:35.892316
"New Delhi, India",337.0,2026-03-21,2026-03-23,Weekend,March,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:14:35.892324
"Dubai, United Arab Emirates",544.0,2026-03-19,2026-03-23,Weekend,March,Gulf Air,1,2026-02-03T15:14:35.892335
"Kyoto, Japan",457.0,2026-03-05,2026-03-08,Weekend,March,Scoot and Vietjet,1,2026-02-03T15:14:35.892343
"Chiang Mai, Thailand",288.0,2026-03-12,2026-03-15,Weekend,March,Scoot,0,2026-02-03T15:14:35.892353
"Jaipur, India",291.0,2026-03-05,2026-03-08,Weekend,March,Air India and Air India Express,1,2026-02-03T15:14:35.892361
"Seoul, South Korea",317.0,2026-03-05,2026-03-09,Weekend,March,"AirAsia, AirAsia X, and Scoot",1,2026-02-03T15:14:35.892368
"Goa, India",276.0,2026-03-12,2026-03-15,Weekend,March,Air India and Air India Express,1,2026-02-03T15:14:35.892376
"Beijing, China",377.0,2026-03-12,2026-03-15,Weekend,March,XiamenAir and Hebei Airlines,1,2026-02-03T15:14:35.892384
"Osaka, Japan",457.0,2026-03-05,2026-03-08,Weekend,March,Scoot and Vietjet,1,2026-02-03T15:14:35.892392
"Shanghai, China",291.0,2026-03-05,2026-03-08,Weekend,March,Spring,0,2026-02-03T15:14:35.892400
"Hội An, Vietnam",332.0,2026-03-05,2026-03-09,Weekend,March,Vietjet,0,2026-02-03T15:14:35.892409
"Bengaluru, India",292.0,2026-03-19,2026-03-22,Weekend,March,IndiGo,1,2026-02-03T15:14:35.892418
"Hạ Long Bay, Vietnam",215.0,2026-03-26,2026-03-30,Weekend,March,Vietjet,0,2026-02-03T15:14:35.892427
"Abu Dhabi, United Arab Emirates",544.0,2026-03-19,2026-03-23,Weekend,March,Gulf Air,1,2026-02-03T15:14:35.892435
"Chennai, India",232.0,2026-03-20,2026-03-22,Weekend,March,IndiGo and Scoot,0,2026-02-03T15:14:35.892442
"Varanasi, India",654.0,2026-03-06,2026-03-08,Weekend,March,Air India and Air India Express,1,2026-02-03T15:14:35.892450
"Agra, India",337.0,2026-03-21,2026-03-23,Weekend,March,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:14:35.892458
"Udaipur, India",309.0,2026-03-12,2026-03-15,Weekend,March,Air India,1,2026-02-03T15:14:35.892465
"Ko Samui, Thailand",368.0,2026-03-26,2026-03-30,Weekend,March,Scoot,0,2026-02-03T15:14:35.892473
"Kolkata, India",244.0,2026-03-12,2026-03-16,Weekend,March,IndiGo,0,2026-02-03T15:14:35.892481
"Taipei City, Taiwan",231.0,2026-03-26,2026-03-30,Weekend,March,Scoot,0,2026-02-03T15:14:35.892490
"Kochi, India",266.0,2026-03-05,2026-03-08,Weekend,March,IndiGo,1,2026-02-03T15:14:35.892498
"Kathmandu, Nepal",550.0,2026-03-05,2026-03-09,Weekend,March,Air India and Thai Lion Air,1,2026-02-03T15:14:35.892506
"Manila, Philippines",230.0,2026-03-12,2026-03-16,Weekend,March,Scoot,0,2026-02-03T15:14:35.892514
"Bahrain, Bahrain",771.0,2026-03-06,2026-03-09,Weekend,March,Etihad,1,2026-02-03T15:14:35.892521
"Macao, Macao",328.0,2026-03-06,2026-03-09,Weekend,March,AirAsia and Hainan,1,2026-02-03T15:14:35.892528
"Hyderabad, India",245.0,2026-03-12,2026-03-16,Weekend,March,IndiGo,0,2026-02-03T15:14:35.892535
"Shimla, India",337.0,2026-03-21,2026-03-23,Weekend,March,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:14:35.892543
"Da Nang, Vietnam",332.0,2026-03-05,2026-03-09,Weekend,March,Vietjet,0,2026-02-03T15:14:35.892551
"Pattaya City, Thailand",194.0,2026-03-07,2026-03-09,Weekend,March,Scoot,0,2026-02-03T15:14:35.892558
"Phi Phi Islands, Thailand",166.0,2026-03-05,2026-03-09,Weekend,March,Scoot,0,2026-02-03T15:14:35.892566
"Rishikesh, India",337.0,2026-03-21,2026-03-23,Weekend,March,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:14:35.892574
"Manali, India",337.0,2026-03-21,2026-03-23,Weekend,March,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:14:35.892581
"Jodhpur, India",310.0,2026-03-12,2026-03-16,Weekend,March,Air India,1,2026-02-03T15:14:35.892588
"Munnar, India",266.0,2026-03-05,2026-03-08,Weekend,March,IndiGo,1,2026-02-03T15:14:35.892596
"Phú Quốc, Vietnam",296.0,2026-03-05,2026-03-09,Weekend,March,Scoot and Vietjet,0,2026-02-03T15:14:35.892603
"Ranthambore National Park, India",291.0,2026-03-05,2026-03-08,Weekend,March,Air India and Air India Express,1,2026-02-03T15:14:35.892611
"Colombo, Sri Lanka",353.0,2026-03-12,2026-03-16,Weekend,March,Air India and AirAsia,1,2026-02-03T15:14:35.892618
"Puducherry, India",232.0,2026-03-20,2026-03-22,Weekend,March,IndiGo and Scoot,0,2026-02-03T15:14:35.892627
"Sapporo, Japan",666.0,2026-03-19,2026-03-22,Weekend,March,"AirAsia, AirAsia X, and Scoot",1,2026-02-03T15:14:35.892639
"Chengdu, China",327.0,2026-03-05,2026-03-08,Weekend,March,AirAsia and AirAsia X,1,2026-02-03T15:14:35.892647
"Xi'An, China",330.0,2026-03-12,2026-03-15,Weekend,March,Hainan,1,2026-02-03T15:14:35.892654
"Boracay, Philippines",363.0,2026-03-06,2026-03-08,Weekend,March,Philippine Airlines,1,2026-02-03T15:14:35.892661
"Cebu City, Philippines",220.0,2026-03-12,2026-03-15,Weekend,March,Cebu Pacific and Scoot,0,2026-02-03T15:14:35.892668
"Kaziranga National Park, India",339.0,2026-03-27,2026-03-29,Weekend,March,Air India and Air India Express,1,2026-02-03T15:14:35.892676
"Guwahati, India",339.0,2026-03-27,2026-03-29,Weekend,March,Air India and Air India Express,1,2026-02-03T15:14:35.892683
"Tashkent, Uzbekistan",649.0,2026-03-20,2026-03-23,Weekend,March,"AirAsia, AirAsia X, and Batik Air",1,2026-02-03T15:14:35.892691
"Niseko, Japan",666.0,2026-03-19,2026-03-22,Weekend,March,"AirAsia, AirAsia X, and Scoot",1,2026-02-03T15:14:35.892698
"Almaty, Kazakhstan",774.0,2026-03-12,2026-03-15,Weekend,March,AirAsia and AirAsia X,1,2026-02-03T15:14:35.892705
"Guam, Guam",686.0,2026-03-05,2026-03-08,Weekend,March,Philippine Airlines,1,2026-02-03T15:14:35.892712
"Tehran, Iran",1417.0,2026-03-26,2026-03-30,Weekend,March,Emirates and Malaysia Airlines,2,2026-02-03T15:14:35.892720
"Ras Al-Khaimah, United Arab Emirates",544.0,2026-03-19,2026-03-23,Weekend,March,Gulf Air,1,2026-02-03T15:14:35.892727
"Harbin, China",363.0,2026-03-12,2026-03-16,Weekend,March,Shandong,1,2026-02-03T15:14:35.892734
"Ulaanbaatar, Mongolia",630.0,2026-03-05,2026-03-08,Weekend,March,Jeju Air,1,2026-02-03T15:14:35.892742
"Furano, Japan",666.0,2026-03-19,2026-03-22,Weekend,March,"AirAsia, AirAsia X, and Scoot",1,2026-02-03T15:14:35.892754
"Issyk Kul, Kyrgyzstan",774.0,2026-03-12,2026-03-15,Weekend,March,AirAsia and AirAsia X,1,2026-02-03T15:14:35.892763
"Asahikawa, Japan",666.0,2026-03-19,2026-03-22,Weekend,March,"AirAsia, AirAsia X, and Scoot",1,2026-02-03T15:14:35.892773
"Ürümqi, China",533.0,2026-03-06,2026-03-08,Weekend,March,Shandong,1,2026-02-03T15:14:35.892780
"Padang, Indonesia",193.0,2026-03-07,2026-03-09,Weekend,March,Scoot,0,2026-02-03T15:14:35.892790
"Gorkhi Terelj National Park, Mongolia",630.0,2026-03-05,2026-03-08,Weekend,March,Jeju Air,1,2026-02-03T15:14:35.892797
"Tokyo, Japan",369.0,2026-03-09,2026-03-17,1 Week,March,ZIPAIR Tokyo and Shenzhen,1,2026-02-03T15:14:42.693646
"Seoul, South Korea",298.0,2026-03-05,2026-03-11,1 Week,March,"Jeju Air, AirAsia, and AirAsia X",1,2026-02-03T15:14:42.693667
"Hanoi, Vietnam",205.0,2026-03-26,2026-04-01,1 Week,March,Scoot and Vietjet,0,2026-02-03T15:14:42.693673
"Taipei City, Taiwan",192.0,2026-03-30,2026-04-08,1 Week,March,Scoot,0,2026-02-03T15:14:42.693678
"Hong Kong, Hong Kong",341.0,2026-03-05,2026-03-11,1 Week,March,Cathay Pacific,0,2026-02-03T15:14:42.693682
"Bangkok, Thailand",170.0,2026-03-08,2026-03-14,1 Week,March,Scoot,0,2026-02-03T15:14:42.693686
"Kyoto, Japan",408.0,2026-03-15,2026-03-21,1 Week,March,Vietjet and Shenzhen,1,2026-02-03T15:14:42.693690
"Hạ Long Bay, Vietnam",205.0,2026-03-26,2026-04-02,1 Week,March,Scoot and Vietjet,0,2026-02-03T15:14:42.693696
"Osaka, Japan",408.0,2026-03-15,2026-03-21,1 Week,March,Vietjet and Shenzhen,1,2026-02-03T15:14:42.693701
"Ho Chi Minh City, Vietnam",152.0,2026-03-01,2026-03-08,1 Week,March,Vietjet,0,2026-02-03T15:14:42.693706
"Mumbai, India",282.0,2026-03-22,2026-03-30,1 Week,March,IndiGo,0,2026-02-03T15:14:42.693710
"New Delhi, India",338.0,2026-03-16,2026-03-23,1 Week,March,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:14:42.693714
"Federal Territory of Kuala Lumpur, Malaysia",98.0,2026-03-02,2026-03-11,1 Week,March,AirAsia,0,2026-02-03T15:14:42.693718
"Dubai, United Arab Emirates",525.0,2026-03-19,2026-03-26,1 Week,March,IndiGo and Air India,1,2026-02-03T15:14:42.693723
"Chiang Mai, Thailand",265.0,2026-03-01,2026-03-10,1 Week,March,Scoot,0,2026-02-03T15:14:42.693727
"Jaipur, India",291.0,2026-03-02,2026-03-08,1 Week,March,Air India and Air India Express,1,2026-02-03T15:14:42.693731
"Phuket, Thailand",143.0,2026-03-07,2026-03-14,1 Week,March,Thai Lion Air,0,2026-02-03T15:14:42.693735
"Goa, India",276.0,2026-03-09,2026-03-15,1 Week,March,Air India and Air India Express,1,2026-02-03T15:14:42.693739
"Beijing, China",399.0,2026-03-16,2026-03-24,1 Week,March,"AirAsia, AirAsia X, and Vietjet",1,2026-02-03T15:14:42.693743
"Shanghai, China",291.0,2026-03-05,2026-03-12,1 Week,March,Spring,0,2026-02-03T15:14:42.693747
"Hội An, Vietnam",233.0,2026-03-30,2026-04-08,1 Week,March,Batik Air and Vietjet,1,2026-02-03T15:14:42.693751
"Bengaluru, India",248.0,2026-03-12,2026-03-21,1 Week,March,IndiGo,0,2026-02-03T15:14:42.693760
"Abu Dhabi, United Arab Emirates",525.0,2026-03-19,2026-03-26,1 Week,March,IndiGo and Air India,1,2026-02-03T15:14:42.693767
"Chennai, India",182.0,2026-03-02,2026-03-09,1 Week,March,Scoot,0,2026-02-03T15:14:42.693775
"Varanasi, India",324.0,2026-03-16,2026-03-25,1 Week,March,Air India and Air India Express,1,2026-02-03T15:14:42.693780
"Agra, India",338.0,2026-03-16,2026-03-23,1 Week,March,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:14:42.693785
"Udaipur, India",307.0,2026-03-23,2026-03-31,1 Week,March,Air India,1,2026-02-03T15:14:42.693790
"Ko Samui, Thailand",331.0,2026-03-22,2026-03-31,1 Week,March,Scoot,0,2026-02-03T15:14:42.693794
"Kolkata, India",244.0,2026-03-12,2026-03-19,1 Week,March,IndiGo,0,2026-02-03T15:14:42.693798
"Kochi, India",267.0,2026-03-30,2026-04-07,1 Week,March,Air India,1,2026-02-03T15:14:42.693801
"Kathmandu, Nepal",500.0,2026-03-05,2026-03-11,1 Week,March,Air India and Thai Lion Air,1,2026-02-03T15:14:42.693805
"Manila, Philippines",212.0,2026-03-05,2026-03-11,1 Week,March,Cebu Pacific and Scoot,1,2026-02-03T15:14:42.693809
"Bahrain, Bahrain",852.0,2026-03-13,2026-03-19,1 Week,March,"Gulf Air, Malaysia Airlines, and Oman Air",2,2026-02-03T15:14:42.693813
"Macao, Macao",288.0,2026-03-06,2026-03-14,1 Week,March,Hainan,1,2026-02-03T15:14:42.693817
"Hyderabad, India",245.0,2026-03-19,2026-03-26,1 Week,March,IndiGo,0,2026-02-03T15:14:42.693821
"Shimla, India",338.0,2026-03-16,2026-03-25,1 Week,March,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:14:42.693825
"Da Nang, Vietnam",233.0,2026-03-30,2026-04-08,1 Week,March,Batik Air and Vietjet,1,2026-02-03T15:14:42.693829
"Phi Phi Islands, Thailand",143.0,2026-03-07,2026-03-14,1 Week,March,Thai Lion Air,0,2026-02-03T15:14:42.693833
"Rishikesh, India",338.0,2026-03-16,2026-03-23,1 Week,March,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:14:42.693837
"Manali, India",338.0,2026-03-16,2026-03-25,1 Week,March,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:14:42.693841
"Jodhpur, India",309.0,2026-03-05,2026-03-11,1 Week,March,Air India,1,2026-02-03T15:14:42.693844
"Munnar, India",267.0,2026-03-30,2026-04-07,1 Week,March,Air India,1,2026-02-03T15:14:42.693848
"Phú Quốc, Vietnam",219.0,2026-03-02,2026-03-11,1 Week,March,Vietjet,0,2026-02-03T15:14:42.693852
"Ranthambore National Park, India",291.0,2026-03-02,2026-03-08,1 Week,March,Air India and Air India Express,1,2026-02-03T15:14:42.693856
"Colombo, Sri Lanka",308.0,2026-03-23,2026-03-30,1 Week,March,AirAsia,1,2026-02-03T15:14:42.693860
"Puducherry, India",182.0,2026-03-01,2026-03-09,1 Week,March,Scoot,0,2026-02-03T15:14:42.693873
"Sapporo, Japan",579.0,2026-03-26,2026-04-01,1 Week,March,"AirAsia, AirAsia X, and T'Way Air",1,2026-02-03T15:14:42.693878
"Chengdu, China",327.0,2026-03-16,2026-03-22,1 Week,March,AirAsia and AirAsia X,1,2026-02-03T15:14:42.693883
"Xi'An, China",368.0,2026-03-06,2026-03-14,1 Week,March,China Southern,1,2026-02-03T15:14:42.693887
"Boracay, Philippines",274.0,2026-03-08,2026-03-15,1 Week,March,Cebu Pacific,1,2026-02-03T15:14:42.693891
"Cebu City, Philippines",208.0,2026-03-05,2026-03-11,1 Week,March,Scoot,0,2026-02-03T15:14:42.693895
"Kaziranga National Park, India",338.0,2026-03-30,2026-04-05,1 Week,March,Air India and Air India Express,1,2026-02-03T15:14:42.693899
"Guwahati, India",338.0,2026-03-30,2026-04-05,1 Week,March,Air India and Air India Express,1,2026-02-03T15:14:42.693903
"Tashkent, Uzbekistan",640.0,2026-03-02,2026-03-09,1 Week,March,AirAsia and AirAsia X,1,2026-02-03T15:14:42.693908
"Niseko, Japan",579.0,2026-03-26,2026-04-01,1 Week,March,"AirAsia, AirAsia X, and T'Way Air",1,2026-02-03T15:14:42.693912
"Almaty, Kazakhstan",771.0,2026-03-23,2026-04-01,1 Week,March,"AirAsia, AirAsia X, Thai AirAsia, and Thai AirAsia X",1,2026-02-03T15:14:42.693916
"Guam, Guam",686.0,2026-03-05,2026-03-11,1 Week,March,Philippine Airlines,1,2026-02-03T15:14:42.693919
"Tehran, Iran",1357.0,2026-03-08,2026-03-17,1 Week,March,"Emirates, flydubai, and Batik Air",2,2026-02-03T15:14:42.693924
"Ras Al-Khaimah, United Arab Emirates",525.0,2026-03-19,2026-03-26,1 Week,March,IndiGo and Air India,1,2026-02-03T15:14:42.693927
"Yangmingshan National Park, Taiwan",192.0,2026-03-30,2026-04-08,1 Week,March,Scoot,0,2026-02-03T15:14:42.693932
"Harbin, China",383.0,2026-03-02,2026-03-08,1 Week,March,China Southern and Chongqing Airlines,1,2026-02-03T15:14:42.693935
"Ulaanbaatar, Mongolia",584.0,2026-03-08,2026-03-15,1 Week,March,Jeju Air,1,2026-02-03T15:14:42.693940
"Furano, Japan",579.0,2026-03-26,2026-04-01,1 Week,March,"AirAsia, AirAsia X, and T'Way Air",1,2026-02-03T15:14:42.693946
"Issyk Kul, Kyrgyzstan",771.0,2026-03-23,2026-04-01,1 Week,March,"AirAsia, AirAsia X, Thai AirAsia, and Thai AirAsia X",1,2026-02-03T15:14:42.693951
"Asahikawa, Japan",579.0,2026-03-26,2026-04-01,1 Week,March,"AirAsia, AirAsia X, and T'Way Air",1,2026-02-03T15:14:42.693956
"Ürümqi, China",533.0,2026-03-06,2026-03-12,1 Week,March,Shandong,1,2026-02-03T15:14:42.693960
"Padang, Indonesia",159.0,2026-03-02,2026-03-10,1 Week,March,Scoot,0,2026-02-03T15:14:42.693966
"Gorkhi Terelj National Park, Mongolia",584.0,2026-03-08,2026-03-15,1 Week,March,Jeju Air,1,2026-02-03T15:14:42.693970
"Hong Kong, Hong Kong",313.0,2026-03-27,2026-04-09,2 Weeks,March,Scoot,0,2026-02-03T15:14:52.075207
"Hanoi, Vietnam",205.0,2026-03-26,2026-04-09,2 Weeks,March,Scoot and Vietjet,0,2026-02-03T15:14:52.075233
"Bangkok, Thailand",170.0,2026-03-09,2026-03-25,2 Weeks,March,Scoot,0,2026-02-03T15:14:52.075239
"Tokyo, Japan",395.0,2026-03-09,2026-03-23,2 Weeks,March,Hainan and ZIPAIR Tokyo,1,2026-02-03T15:14:52.075244
"Ho Chi Minh City, Vietnam",152.0,2026-03-01,2026-03-17,2 Weeks,March,Vietjet,0,2026-02-03T15:14:52.075249
"Mumbai, India",285.0,2026-03-09,2026-03-22,2 Weeks,March,IndiGo,0,2026-02-03T15:14:52.075253
"New Delhi, India",322.0,2026-03-12,2026-03-25,2 Weeks,March,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:14:52.075257
"Federal Territory of Kuala Lumpur, Malaysia",98.0,2026-03-23,2026-04-08,2 Weeks,March,Scoot,0,2026-02-03T15:14:52.075262
"Dubai, United Arab Emirates",480.0,2026-03-13,2026-03-26,2 Weeks,March,IndiGo and Air India,1,2026-02-03T15:14:52.075268
"Kyoto, Japan",408.0,2026-03-15,2026-03-31,2 Weeks,March,Vietjet and Shenzhen,1,2026-02-03T15:14:52.075273
"Chiang Mai, Thailand",265.0,2026-03-01,2026-03-14,2 Weeks,March,Scoot,0,2026-02-03T15:14:52.075278
"Jaipur, India",291.0,2026-03-05,2026-03-18,2 Weeks,March,Air India and Air India Express,1,2026-02-03T15:14:52.075283
"Phuket, Thailand",143.0,2026-03-01,2026-03-14,2 Weeks,March,Thai Lion Air,0,2026-02-03T15:14:52.075287
"Seoul, South Korea",298.0,2026-03-05,2026-03-18,2 Weeks,March,"Jeju Air, AirAsia, and AirAsia X",1,2026-02-03T15:14:52.075291
"Goa, India",261.0,2026-03-26,2026-04-09,2 Weeks,March,Air India and Air India Express,1,2026-02-03T15:14:52.075296
"Beijing, China",358.0,2026-03-26,2026-04-10,2 Weeks,March,China Southern and Malaysia Airlines,1,2026-02-03T15:14:52.075300
"Osaka, Japan",408.0,2026-03-15,2026-03-31,2 Weeks,March,Vietjet and Shenzhen,1,2026-02-03T15:14:52.075304
"Shanghai, China",291.0,2026-03-26,2026-04-09,2 Weeks,March,Spring,0,2026-02-03T15:14:52.075309
"Hội An, Vietnam",230.0,2026-03-29,2026-04-14,2 Weeks,March,Batik Air and Vietjet,1,2026-02-03T15:14:52.075315
"Bengaluru, India",248.0,2026-03-05,2026-03-21,2 Weeks,March,IndiGo,0,2026-02-03T15:14:52.075319
"Hạ Long Bay, Vietnam",215.0,2026-03-02,2026-03-16,2 Weeks,March,Vietjet,0,2026-02-03T15:14:52.075323
"Abu Dhabi, United Arab Emirates",480.0,2026-03-13,2026-03-26,2 Weeks,March,IndiGo and Air India,1,2026-02-03T15:14:52.075328
"Chennai, India",182.0,2026-03-01,2026-03-16,2 Weeks,March,Scoot,0,2026-02-03T15:14:52.075332
"Varanasi, India",324.0,2026-03-16,2026-03-30,2 Weeks,March,Air India and Air India Express,1,2026-02-03T15:14:52.075337
"Agra, India",322.0,2026-03-12,2026-03-25,2 Weeks,March,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:14:52.075341
"Udaipur, India",383.0,2026-03-01,2026-03-14,2 Weeks,March,Air India,1,2026-02-03T15:14:52.075345
"Ko Samui, Thailand",330.0,2026-03-12,2026-03-26,2 Weeks,March,Scoot,0,2026-02-03T15:14:52.075349
"Kolkata, India",244.0,2026-03-06,2026-03-19,2 Weeks,March,IndiGo,0,2026-02-03T15:14:52.075353
"Taipei City, Taiwan",192.0,2026-03-26,2026-04-08,2 Weeks,March,Scoot,0,2026-02-03T15:14:52.075357
"Kochi, India",269.0,2026-03-30,2026-04-13,2 Weeks,March,IndiGo,1,2026-02-03T15:14:52.075361
"Kathmandu, Nepal",499.0,2026-03-16,2026-03-30,2 Weeks,March,Air India and Thai Lion Air,1,2026-02-03T15:14:52.075366
"Manila, Philippines",208.0,2026-03-05,2026-03-18,2 Weeks,March,Scoot,0,2026-02-03T15:14:52.075370
"Bahrain, Bahrain",782.0,2026-03-06,2026-03-22,2 Weeks,March,"Gulf Air, Malaysia Airlines, and Oman Air",2,2026-02-03T15:14:52.075374
"Macao, Macao",321.0,2026-03-30,2026-04-15,2 Weeks,March,AirAsia and Scoot,1,2026-02-03T15:14:52.075378
"Hyderabad, India",245.0,2026-03-12,2026-03-26,2 Weeks,March,IndiGo,0,2026-02-03T15:14:52.075383
"Da Nang, Vietnam",230.0,2026-03-29,2026-04-14,2 Weeks,March,Batik Air and Vietjet,1,2026-02-03T15:14:52.075388
"Phi Phi Islands, Thailand",143.0,2026-03-01,2026-03-14,2 Weeks,March,Thai Lion Air,0,2026-02-03T15:14:52.075393
"Rishikesh, India",278.0,2026-03-27,2026-04-09,2 Weeks,March,Air India,2,2026-02-03T15:14:52.075398
"Jodhpur, India",461.0,2026-03-01,2026-03-14,2 Weeks,March,Air India,1,2026-02-03T15:14:52.075403
"Munnar, India",269.0,2026-03-30,2026-04-13,2 Weeks,March,IndiGo,1,2026-02-03T15:14:52.075407
"Phú Quốc, Vietnam",219.0,2026-03-01,2026-03-14,2 Weeks,March,Vietjet,0,2026-02-03T15:14:52.075411
"Ranthambore National Park, India",291.0,2026-03-05,2026-03-18,2 Weeks,March,Air India and Air India Express,1,2026-02-03T15:14:52.075415
"Colombo, Sri Lanka",308.0,2026-03-16,2026-03-30,2 Weeks,March,AirAsia,1,2026-02-03T15:14:52.075419
"Puducherry, India",192.0,2026-03-15,2026-03-29,2 Weeks,March,Scoot,0,2026-02-03T15:14:52.075425
"Sapporo, Japan",555.0,2026-03-26,2026-04-09,2 Weeks,March,"AirAsia, AirAsia X, and Scoot",1,2026-02-03T15:14:52.075431
"Chengdu, China",332.0,2026-03-06,2026-03-19,2 Weeks,March,Hainan,1,2026-02-03T15:14:52.075435
"Xi'An, China",465.0,2026-03-01,2026-03-14,2 Weeks,March,XiamenAir,1,2026-02-03T15:14:52.075440
"Boracay, Philippines",286.0,2026-03-02,2026-03-15,2 Weeks,March,Cebu Pacific,1,2026-02-03T15:14:52.075444
"Cebu City, Philippines",206.0,2026-03-05,2026-03-18,2 Weeks,March,Scoot,0,2026-02-03T15:14:52.075448
"Kaziranga National Park, India",338.0,2026-03-02,2026-03-15,2 Weeks,March,Air India and Air India Express,1,2026-02-03T15:14:52.075452
"Guwahati, India",338.0,2026-03-02,2026-03-15,2 Weeks,March,Air India and Air India Express,1,2026-02-03T15:14:52.075456
"Niseko, Japan",555.0,2026-03-26,2026-04-09,2 Weeks,March,"AirAsia, AirAsia X, and Scoot",1,2026-02-03T15:14:52.075462
"Almaty, Kazakhstan",771.0,2026-03-16,2026-03-29,2 Weeks,March,"AirAsia, AirAsia X, Thai AirAsia, and Thai AirAsia X",1,2026-02-03T15:14:52.075466
"Guam, Guam",719.0,2026-03-05,2026-03-18,2 Weeks,March,Philippine Airlines,1,2026-02-03T15:14:52.075470
"Tehran, Iran",1357.0,2026-03-02,2026-03-17,2 Weeks,March,"Emirates, flydubai, and Batik Air",2,2026-02-03T15:14:52.075475
"Ras Al-Khaimah, United Arab Emirates",422.0,2026-03-12,2026-03-26,2 Weeks,March,IndiGo,1,2026-02-03T15:14:52.075479
"Harbin, China",368.0,2026-03-26,2026-04-08,2 Weeks,March,China Southern,1,2026-02-03T15:14:52.075483
"Ulaanbaatar, Mongolia",651.0,2026-03-08,2026-03-24,2 Weeks,March,Jeju Air,1,2026-02-03T15:14:52.075487
"Furano, Japan",553.0,2026-03-29,2026-04-14,2 Weeks,March,Scoot and T'Way Air,1,2026-02-03T15:14:52.075494
"Isfahan, Iran",1247.0,2026-03-07,2026-03-23,2 Weeks,March,XiamenAir and Qatar Airways,2,2026-02-03T15:14:52.075498
"Issyk Kul, Kyrgyzstan",771.0,2026-03-16,2026-03-29,2 Weeks,March,"AirAsia, AirAsia X, Thai AirAsia, and Thai AirAsia X",1,2026-02-03T15:14:52.075503
"Asahikawa, Japan",553.0,2026-03-29,2026-04-14,2 Weeks,March,Scoot and T'Way Air,1,2026-02-03T15:14:52.075508
"Ürümqi, China",666.0,2026-03-01,2026-03-14,2 Weeks,March,Cathay Pacific,1,2026-02-03T15:14:52.075512
"Gorkhi Terelj National Park, Mongolia",651.0,2026-03-08,2026-03-24,2 Weeks,March,Jeju Air,1,2026-02-03T15:14:52.075519
"Bangkok, Thailand",169.0,2026-04-24,2026-04-27,Weekend,April,Thai Lion Air,0,2026-02-03T15:14:54.173371
"Federal Territory of Kuala Lumpur, Malaysia",111.0,2026-04-18,2026-04-20,Weekend,April,Scoot,0,2026-02-03T15:14:54.173405
"Hanoi, Vietnam",208.0,2026-04-16,2026-04-19,Weekend,April,Scoot and Vietjet,0,2026-02-03T15:14:54.173412
"Hong Kong, Hong Kong",299.0,2026-04-16,2026-04-19,Weekend,April,Scoot,0,2026-02-03T15:14:54.173418
"Hội An, Vietnam",186.0,2026-04-16,2026-04-20,Weekend,April,Vietjet,0,2026-02-03T15:14:54.173423
"Phuket, Thailand",166.0,2026-04-24,2026-04-27,Weekend,April,Scoot,0,2026-02-03T15:14:54.173428
"Ho Chi Minh City, Vietnam",152.0,2026-04-09,2026-04-12,Weekend,April,Vietjet,0,2026-02-03T15:14:54.173433
"Hạ Long Bay, Vietnam",208.0,2026-04-16,2026-04-19,Weekend,April,Scoot and Vietjet,0,2026-02-03T15:14:54.173438
"Tokyo, Japan",415.0,2026-04-30,2026-05-04,Weekend,April,Scoot and ZIPAIR Tokyo,1,2026-02-03T15:14:54.173443
"Mumbai, India",199.0,2026-04-09,2026-04-12,Weekend,April,Air India and Air India Express,2,2026-02-03T15:14:54.173449
"New Delhi, India",348.0,2026-04-02,2026-04-06,Weekend,April,IndiGo and Batik Air,1,2026-02-03T15:14:54.173454
"Dubai, United Arab Emirates",520.0,2026-04-17,2026-04-19,Weekend,April,IndiGo,1,2026-02-03T15:14:54.173459
"Kyoto, Japan",411.0,2026-04-24,2026-04-27,Weekend,April,Peach Aviation and Scoot,0,2026-02-03T15:14:54.173466
"Chiang Mai, Thailand",333.0,2026-04-18,2026-04-20,Weekend,April,Thai Lion Air and Scoot,1,2026-02-03T15:14:54.173477
"Jaipur, India",281.0,2026-04-25,2026-04-27,Weekend,April,Air India and Air India Express,1,2026-02-03T15:14:54.173492
